Image	Name	Class	Parent	ROI	Centroid X µm	Centroid Y µm	Detection probability	Nucleus: Area µm^2	Nucleus: Length µm	Nucleus: Circularity	Nucleus: Solidity	Nucleus: Max diameter µm	Nucleus: Min diameter µm	Cell: Area µm^2	Cell: Length µm	Cell: Circularity	Cell: Solidity	Cell: Max diameter µm	Cell: Min diameter µm	Nucleus/Cell area ratio	Hematoxylin: Nucleus: Mean	Hematoxylin: Nucleus: Median	Hematoxylin: Nucleus: Min	Hematoxylin: Nucleus: Max	Hematoxylin: Nucleus: Std.Dev.	Hematoxylin: Cytoplasm: Mean	Hematoxylin: Cytoplasm: Median	Hematoxylin: Cytoplasm: Min	Hematoxylin: Cytoplasm: Max	Hematoxylin: Cytoplasm: Std.Dev.	Hematoxylin: Membrane: Mean	Hematoxylin: Membrane: Median	Hematoxylin: Membrane: Min	Hematoxylin: Membrane: Max	Hematoxylin: Membrane: Std.Dev.	Hematoxylin: Cell: Mean	Hematoxylin: Cell: Median	Hematoxylin: Cell: Min	Hematoxylin: Cell: Max	Hematoxylin: Cell: Std.Dev.	Eosin: Nucleus: Mean	Eosin: Nucleus: Median	Eosin: Nucleus: Min	Eosin: Nucleus: Max	Eosin: Nucleus: Std.Dev.	Eosin: Cytoplasm: Mean	Eosin: Cytoplasm: Median	Eosin: Cytoplasm: Min	Eosin: Cytoplasm: Max	Eosin: Cytoplasm: Std.Dev.	Eosin: Membrane: Mean	Eosin: Membrane: Median	Eosin: Membrane: Min	Eosin: Membrane: Max	Eosin: Membrane: Std.Dev.	Eosin: Cell: Mean	Eosin: Cell: Median	Eosin: Cell: Min	Eosin: Cell: Max	Eosin: Cell: Std.Dev.
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	479.82	125.9	0.6198	26.6582	20.754	0.7777	1	8.4878	4.157	59.9803	31.1288	0.7778	1	12.7293	6.2349	0.4444	0.7746	0.7333	-0.0206	4.1894	0.5379	0.4815	0.2754	-0.2241	4.0557	0.6568	0.3695	0.2111	-0.0395	2.8932	0.5325	0.6102	0.4195	-0.2241	4.1894	0.6235	0.436	0.419	-1.4137	1.758	0.3153	0.389	0.2937	-1.0779	2.6772	0.488	0.3752	0.2664	-1.0522	2.1791	0.4709	0.4097	0.3453	-1.4137	2.6772	0.4208
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	503.04	127.87	0.5755	34.8129	23.8019	0.7722	0.9651	9.4944	4.6961	76.4888	34.2808	0.8179	1	13.4195	6.9791	0.4552	1.1882	1.091	-0.0251	4.4762	0.8574	0.3225	0.2739	-0.0283	1.5326	0.2729	0.1924	0.1549	-0.0265	0.6444	0.1684	0.711	0.4457	-0.0283	4.4762	0.7453	0.4955	0.4569	-1.6543	2.0074	0.6381	0.3422	0.3426	-0.2286	1.4998	0.2082	0.2705	0.2736	-0.0247	0.7038	0.1829	0.411	0.3612	-1.6543	2.0074	0.46
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	487.07	129.75	0.601	46.573	25.7948	0.8796	0.9969	9.7859	6.2506	82.7295	34.3245	0.8824	0.9842	12.3467	9.0691	0.563	1.0544	0.8806	0.0296	4.6846	0.7856	0.3497	0.1938	-0.0417	1.8529	0.4266	0.4199	0.1749	-0.0417	4.4877	0.8301	0.75	0.6352	-0.0417	4.6846	0.7418	0.3974	0.3073	-2.4094	2.4389	0.5702	0.2137	0.2074	-0.5282	1.4506	0.2277	0.1428	0.1982	-1.8205	0.8607	0.314	0.318	0.2627	-2.4094	2.4389	0.4635
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	497.3	135.15	0.6248	22.0524	17.7176	0.8828	1	6.7415	4.2594	49.0716	26.3853	0.8858	1	10.1098	6.3889	0.4494	1.5745	1.0725	-0.0121	4.4086	1.26	0.287	0.2314	-0.0541	1.214	0.2683	0.2677	0.2531	-0.0516	0.9411	0.2332	0.8746	0.4852	-0.0541	4.4086	1.0828	-0.0214	0.0841	-1.7817	2.091	0.6311	0.2588	0.2131	-0.0821	1.0659	0.163	0.2224	0.1972	-0.0821	0.4661	0.1213	0.1309	0.1793	-1.7817	2.091	0.4633
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	454.61	135.59	0.7655	48.0721	25.9978	0.8938	0.9985	9.7117	6.1727	107.1163	38.7509	0.8964	1	14.5666	9.2611	0.4488	0.9016	0.639	-0.0805	4.9785	0.9315	0.2457	0.1107	-0.1537	2.5122	0.3837	0.1888	0.0785	-0.0964	2.5122	0.3681	0.5369	0.2957	-0.1537	4.9785	0.7565	-0.3146	-0.163	-3.407	0.6979	0.6397	0.0576	0.0842	-1.52	0.7601	0.3012	0.0871	0.1147	-1.52	0.6248	0.3251	-0.1076	0	-3.407	0.7601	0.5155
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	476.14	140.25	0.5678	30.4701	26.0114	0.5659	0.9566	11.5996	3.3479	68.1691	37.2499	0.6174	1	16.4499	5.0223	0.4469	0.7988	0.5278	-0.0088	4.534	0.789	0.3341	0.2203	-0.0847	4.365	0.4658	0.3186	0.1931	-0.0847	4.365	0.5807	0.5359	0.3042	-0.0847	4.534	0.6669	0.3975	0.3577	-2.2079	2.3333	0.5661	0.3306	0.263	-1.8717	1.2826	0.3082	0.2717	0.2233	-1.8717	1.1282	0.3563	0.3597	0.308	-2.2079	2.3333	0.4395
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	512.43	141.94	0.5664	18.8791	16.1378	0.911	1	5.9089	4.2707	42.4761	24.2058	0.911	1	8.8625	6.4056	0.4445	1.2885	1.1885	0	4.9376	0.8837	0.5494	0.4095	-0.0232	2.7672	0.5366	0.514	0.4409	-0.0232	2.3128	0.4645	0.8905	0.7211	-0.0232	4.9376	0.8055	-0.5833	-0.4455	-3.4982	0.3507	0.626	-0.0748	-0.0186	-1.6409	0.6411	0.3341	-0.0517	-0.0186	-1.3389	0.543	0.3071	-0.3095	-0.167	-3.4982	0.6411	0.5514
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	484.58	145.91	0.6304	27.7232	20.9779	0.7916	0.9752	8.5822	4.4549	63.9591	31.417	0.8143	1	12.8738	6.6798	0.4335	0.9931	0.9702	0.2603	2.1483	0.4549	0.3142	0.2816	-0.1138	1.1949	0.2497	0.2299	0.1819	-0.1138	1.1949	0.2766	0.6028	0.4821	-0.1138	2.1483	0.4862	0.4398	0.3866	-0.2702	1.942	0.3693	0.2832	0.2861	0.0413	0.6465	0.1186	0.2556	0.2468	0.0413	0.4701	0.1142	0.3498	0.319	-0.2702	1.942	0.2679
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	468.13	145.35	0.7344	75.6095	38.2142	0.6506	0.9483	16.3991	6.5074	143.2425	49.6778	0.7294	0.9755	19.4952	9.743	0.5279	1.1157	0.9232	-0.0268	4.9077	0.8645	0.514	0.1348	-0.0756	4.9493	0.9012	0.2917	0.099	-0.0756	3.4101	0.546	0.834	0.5907	-0.0756	4.9493	0.9316	-0.0474	0	-3.2099	2.5789	0.6146	-0.1235	0	-3.4229	1.9875	0.5921	0.0262	0.0083	-0.6372	0.6982	0.2004	-0.0832	0	-3.4229	2.5789	0.6054
CMU-1-Small-Region_2.svs	PathCellObject		PathAnnotationObject	Polygon	448.55	149.99	0.6237	46.1579	25.2892	0.907	1	8.9236	7.1466	102.1567	37.5547	0.9102	1	13.1429	10.6586	0.4518	0.188	0.1781	-0.1996	0.7353	0.1449	0.1275	0.0578	-0.1525	1.107	0.1951	0.0586	0.0387	-0.0999	0.5219	0.112	0.1543	0.131	-0.1996	1.107	0.177	0.6909	0.731	0.0424	1.4343	0.23	0.2638	0.2247	-0.1063	1.0643	0.2187	0.216	0.2025	-0.0564	0.5625	0.1551	0.4534	0.4578	-0.1063	1.4343	0.3083
