,feat,p,stat
31,wavelet-HHH_ngtdm_Busyness,0.2358145844197786,-0.7467309801004551
244,wavelet-LHH_glcm_DifferenceVariance,0.23665610174604268,0.8440030224157308
238,wavelet-HLL_glcm_Correlation,0.24256386806460875,0.5610118762301987
165,wavelet-LHL_glszm_SizeZoneNonUniformityNormalized,0.24538191684306332,-0.582742856427807
119,wavelet-HHH_glszm_SmallAreaHighGrayLevelEmphasis,0.24918292317425123,-0.6962962130658769
14,wavelet-LLL_glrlm_HighGrayLevelRunEmphasis,0.2494766823303578,-0.5325545707027103
92,wavelet-HHL_glrlm_ShortRunHighGrayLevelEmphasis,0.24969037171350716,-0.6294088525919588
104,wavelet-LHL_gldm_SmallDependenceLowGrayLevelEmphasis,0.2502297365206694,0.6509091876529096
275,wavelet-LHL_ngtdm_Contrast,0.2508199247910522,-0.6248108945334151
541,wavelet-LLL_gldm_HighGrayLevelEmphasis,0.25143708194440106,-0.5211197256088489
524,wavelet-LLL_glcm_Autocorrelation,0.2526188751009044,-0.5167676596125576
516,wavelet-HLH_glszm_LargeAreaEmphasis,0.25976554294021,-0.5838574387319336
438,wavelet-HLH_glszm_LargeAreaLowGrayLevelEmphasis,0.26082651586877154,-0.6001200684619473
261,wavelet-HHL_glszm_HighGrayLevelZoneEmphasis,0.26413656030191257,-0.6062212022200643
359,wavelet-LLL_gldm_DependenceNonUniformity,0.2651436435541951,-0.6760950086635023
295,wavelet-LLL_glrlm_ShortRunHighGrayLevelEmphasis,0.26628502447454055,-0.5408450060424135
133,wavelet-HLH_glrlm_LongRunHighGrayLevelEmphasis,0.2667041841751128,0.5921766976049234
496,wavelet-HHL_gldm_SmallDependenceHighGrayLevelEmphasis,0.2674265107508833,-0.7366776863917319
511,wavelet-HLH_glszm_ZoneVariance,0.2723198707255139,-0.573592398556064
372,wavelet-HHL_glrlm_HighGrayLevelRunEmphasis,0.27401331478246804,-0.5773522432832435
192,wavelet-HLH_glcm_Imc2,0.2741680963573797,0.4678410740638616
164,wavelet-HLH_glcm_MCC,0.2754834073689391,0.6084317740242303
115,wavelet-LHH_glrlm_ShortRunHighGrayLevelEmphasis,0.27581360462814364,-0.5982756801485446
580,wavelet-HHH_glszm_SmallAreaEmphasis,0.2780543570909726,-0.36388254814830095
233,wavelet-HHL_gldm_HighGrayLevelEmphasis,0.2798859510140476,-0.5695326127573141
490,wavelet-LHL_glrlm_LongRunEmphasis,0.2812535349065167,0.423311838813355
141,wavelet-LLH_glszm_ZoneVariance,0.28300032686945154,-0.6809889515189099
