,feat,p,stat
346,wavelet-LLH_glszm_GrayLevelNonUniformityNormalized,0.3648393471202499,-0.37620294917371305
259,wavelet-HLH_glrlm_ShortRunEmphasis,0.36573155004198843,-0.5681416625830731
192,wavelet-HHH_glszm_SmallAreaLowGrayLevelEmphasis,0.37139129670761784,0.3042549830710425
298,wavelet-HHL_glcm_ClusterTendency,0.3723145102934009,-0.40635277285735893
305,wavelet-LLH_glrlm_GrayLevelNonUniformityNormalized,0.37260789438083897,-0.8673738361778633
260,wavelet-HHH_glszm_LargeAreaHighGrayLevelEmphasis,0.37317642610961343,-0.5652661692623281
443,wavelet-LLL_glrlm_RunEntropy,0.37446442334458674,0.4537881127045178
254,wavelet-HLL_glcm_ClusterProminence,0.37460155570668807,0.7303260257883926
289,wavelet-LLL_ngtdm_Contrast,0.37631768653607933,-0.35771821789272656
36,wavelet-HHH_glszm_GrayLevelNonUniformityNormalized,0.3791023361873723,0.5204614486388056
76,wavelet-LHH_glcm_Idm,0.3793598716627513,0.4970222122937254
163,wavelet-LLL_gldm_DependenceNonUniformity,0.3796585277890092,0.3371399147034667
94,wavelet-LHL_gldm_SmallDependenceEmphasis,0.38136717383617136,-0.5403850846549473
556,wavelet-LHL_ngtdm_Coarseness,0.3819174489342728,-0.5835873129875326
550,wavelet-LHL_glrlm_ShortRunEmphasis,0.382282066330382,-0.40871902874996285
451,wavelet-HLH_glszm_SizeZoneNonUniformity,0.38237956252720673,0.39749296083727576
160,wavelet-LHH_gldm_LargeDependenceHighGrayLevelEmphasis,0.38297715860252235,0.39397583413937354
273,wavelet-HLH_glcm_Idm,0.38442254404591136,0.5058603443625229
64,wavelet-HHH_glszm_LargeAreaEmphasis,0.38446946922997816,-0.5514347296221859
539,wavelet-HHL_gldm_LargeDependenceHighGrayLevelEmphasis,0.38628898201253514,0.6582206109934982
65,wavelet-LLL_glcm_Idn,0.3864238956248752,0.4114761780198234
301,wavelet-LLH_gldm_LargeDependenceEmphasis,0.3865084043372239,-0.3585430571398637
131,wavelet-LHH_glcm_Id,0.3889591132061869,0.4438924382142902
477,wavelet-HHH_glszm_LargeAreaLowGrayLevelEmphasis,0.389506210489702,-0.5448650298643976
0,wavelet-LHL_glcm_Contrast,0.3912536263472881,-0.4254665624733705
466,wavelet-HHH_glcm_SumEntropy,0.3922688186862582,0.8049626449027794
51,wavelet-LHH_glcm_Idmn,0.39267853368161443,0.3522688199535089
391,wavelet-HHL_glcm_SumEntropy,0.3929240911024525,-0.4298545863002888
458,wavelet-LLH_glcm_ClusterShade,0.3931540312495121,-0.4603756169693741
147,wavelet-LHL_glszm_LargeAreaHighGrayLevelEmphasis,0.3931864025659362,0.40444615561512853
507,wavelet-LHH_glszm_GrayLevelNonUniformityNormalized,0.39389370508416977,0.6558125631644043
276,wavelet-HLL_glcm_SumEntropy,0.3957368828798208,0.4091029977425972
71,wavelet-LHL_glrlm_GrayLevelNonUniformityNormalized,0.3965988980958234,0.3523010638999862
101,wavelet-LHL_glrlm_GrayLevelVariance,0.3976932024900215,-0.4198432920328525
488,wavelet-HLH_glcm_Id,0.3978616410677259,0.4399950197109915
335,wavelet-HLL_gldm_GrayLevelVariance,0.3984737157522571,0.3630301578280652
253,wavelet-LHL_gldm_DependenceNonUniformityNormalized,0.3996605643477962,-0.43352040928822083
80,wavelet-LHL_glcm_Correlation,0.4012597368555123,0.38582433014796064
396,wavelet-LHL_glcm_DifferenceAverage,0.40318151532346125,-0.44267565310660045
481,wavelet-LHH_glcm_ClusterShade,0.4094192159305988,0.7166447112349914
162,wavelet-LHH_glrlm_LowGrayLevelRunEmphasis,0.4105277279432775,-0.36010023942977853
361,wavelet-HLL_glszm_ZoneVariance,0.4141555489858645,-0.3638427920828315
343,wavelet-HLL_glszm_LargeAreaEmphasis,0.41443278843207976,-0.3642326558840216
212,wavelet-HHL_glrlm_ShortRunEmphasis,0.4144922178886109,-0.3846630892897389
3,wavelet-HLH_gldm_GrayLevelVariance,0.41486073562337,-32.4039203237165
